Unnamed: 0,date,competition_name,city,pool_length,distance,style,age_category,athlete,sex,age,club,time,points,place,fpm
0,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,70 - 74,БЕЛИНСКАЯ Наталья,ж,71,Невские звёзды,1:32.03,551,1,True
1,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,70 - 74,СБОЕВА Ирина,ж,72,Тройка,1:50.51,318,2,True
2,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,65 - 69,КЕДРОВА Ольга,ж,65,Невские звёзды,1:16.89,721,1,True
3,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,60 - 64,ТИХОМИРОВА Татьяна,ж,61,Фитнес Хаус,1:11.40,765,1,True
4,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,60 - 64,КОРОТКОВА Марина,ж,64,Невские звёзды,1:19.31,558,2,True
5,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,60 - 64,СМИРНОВА Любовь,ж,60,Гидра Мастерс,1:29.46,389,3,True
6,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,60 - 64,ПАВЛОВА Елена,ж,60,Невские звёзды,1:34.07,334,4,True
7,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,55 - 59,БОЕВА Юлия,ж,56,Олимп,1:08.46,750,1,True
8,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,55 - 59,ПЛОТНИЦКАЯ Светлана,ж,57,Свимлайф Мастерс,1:08.60,745,2,True
9,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,50 - 54,ХОРС Елена,ж,50,Тройка,1:09.84,652,1,True
10,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,50 - 54,БАСКАКОВА Снежана,ж,51,Тройка,1:11.65,604,2,True
11,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,50 - 54,ТИТОВА Татьяна,ж,53,Гидра Мастерс,1:24.89,363,3,True
12,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,50 - 54,ИВАНОВА Лилия,ж,50,Фитнес Хаус,1:32.44,281,4,True
13,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,50 - 54,ШЕВЧУК Людмила,ж,51,Сириус СПб,1:35.07,258,5,True
14,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,45 - 49,ГРИНЬ Ульяна,ж,48,Радуга,1:12.31,544,2,True
15,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,40 - 44,ЦАРЬКОВА Инга,ж,42,Свимлайф Мастерс,1:03.49,764,1,True
16,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,40 - 44,ПОСТНИКОВА Екатерина,ж,42,Невские звёзды,1:19.83,384,2,True
17,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,БРЫНЦЕВА Евгения,ж,37,Мэд Вейв,1:00.23,876,1,True
18,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,КАЛАШНИКОВА Юлия,ж,38,Свимлайф Мастерс,1:04.04,728,2,True
19,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,НОВИКОВА Анна,ж,38,Гравити Спорт,1:08.03,607,3,True
20,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,МОРОЗОВА Анастасия,ж,35,Фитнес Хаус,1:08.18,603,4,True
21,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,ДУДИНА Анастасия,ж,36,Фитнес Хаус,1:09.92,559,5,True
22,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,МАРЧЕНКОВА Алина,ж,36,Драфт,1:10.52,545,6,True
23,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,ЛЕБЕДЕВА Евгения,ж,38,ТимКулик Мастерс,1:12.86,494,7,True
24,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,СУРОВЦОВА Марина,ж,39,ТимКулик Мастерс,1:13.64,479,8,True
25,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,ДУБРОВСКАЯ Екатерина,ж,37,Гидра Мастерс,1:13.89,474,9,True
26,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,30 - 34,СЕМЕНОВА София,ж,30,Свимлайф Мастерс,1:02.04,727,1,True
27,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,30 - 34,АЛЕКСЕЕВА Анастасия,ж,34,Невские звёзды,1:05.80,609,2,True
28,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,25 - 29,РАЗУВАЕВА Анна,ж,28,ЦСКА,1:02.63,677,1,True
29,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,25 - 29,КОНОВАЛОВА Антонина,ж,26,Тройка,1:03.36,654,2,True
30,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,25 - 29,ДАНИЛЕВИЧ Дарья,ж,26,Невские звёзды,1:12.71,433,5,True
31,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,75 - 79,ПЕТКАУ Олег,м,78,Невские звёзды,1:19.57,666,1,True
32,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,75 - 79,НЕФЕДОВ Владимир,м,76,Невские звёзды,1:23.84,569,2,True
33,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,75 - 79,ЛАМДЕН Константин,м,78,Сириус СПб,1:51.06,245,3,True
34,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,70 - 74,ГРИЧЕНКОВ Иван,м,74,Гидра Мастерс,1:20.40,530,2,True
35,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,65 - 69,СЕМЕНОВ Андрей,м,65,Урал,1:08.45,664,1,True
36,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,65 - 69,БУБЛИКОВ Константин,м,66,Невские звёзды,1:08.84,653,2,True
37,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,65 - 69,ПУЛИНЕЦ Вадим,м,66,Невские звёзды,1:11.67,579,3,True
38,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,65 - 69,АНТИПОВ Александр,м,69,Солнечногорье,1:18.35,443,4,True
39,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,65 - 69,КАНАЕВ Николай,м,69,Сириус СПб,1:26.12,333,5,True
40,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,60 - 64,ТРУСОВ Алексей,м,61,Спрут,1:02.96,749,1,True
41,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,60 - 64,РУДЕНКО Виктор,м,62,Гидра Мастерс,1:10.69,529,3,True
42,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,60 - 64,КОВАЛЬ Евгений,м,61,МКМП,1:10.82,526,4,True
43,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,60 - 64,СМИРНОВ Игорь,м,60,Фитнес Хаус,1:10.98,523,5,True
44,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,60 - 64,СИЗИКОВ Геннадий,м,62,Мордовские Лисы,1:11.31,516,6,True
45,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,60 - 64,ПАВЛОВ Роман,м,63,Спрут,1:20.59,357,7,True
46,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,60 - 64,ЛЫСКОВ Александр,м,61,ЦСКА,1:22.90,328,8,True
47,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,55 - 59,БАЛЯКОВ Дмитрий,м,59,Невские звёзды,59.25,812,1,True
48,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,55 - 59,ЕФИМОВ Петр,м,57,Невские звёзды,1:03.03,675,2,True
49,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,55 - 59,ЗАЙЧЕНКО Дмитрий,м,55,Фитнес Хаус,1:07.07,560,3,True
50,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,55 - 59,БЕЛОЗЕРЦЕВ Юрий,м,56,Касатка,1:07.15,558,4,True
51,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,55 - 59,ПАВЛОВ Павел,м,55,Олимп,1:12.30,447,5,True
52,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,55 - 59,ТИТОВ Константин,м,57,АСМ,1:15.06,399,6,True
53,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,50 - 54,РУДАКОВ Александр,м,50,КВСП,1:01.24,664,1,True
54,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,45 - 49,АЛЕКСЕЕВ Андрей,м,46,АСМ,57.03,775,1,True
55,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,45 - 49,КРАСОВ Михаил,м,48,Фитнес Хаус,57.83,743,2,True
56,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,45 - 49,БОНДАРЕНКО Павел,м,49,Сириус СПб,59.67,677,3,True
57,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,45 - 49,ПОТЁМКИН Евгений,м,47,АСМ,59.97,667,4,True
58,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,45 - 49,МОЛОДОВ Василий,м,45,Гидра Мастерс,1:01.15,629,5,True
59,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,45 - 49,МАРКОВ Сергей,м,46,Свимлайф Мастерс,1:02.00,603,6,True
60,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,45 - 49,ФЕДОРОВ Юрий,м,45,Драфт,1:07.29,472,8,True
61,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,45 - 49,ПИМАНОВ Денис,м,48,Драфт,1:08.08,455,9,True
62,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,40 - 44,ЧУНАЕВ Игорь,м,43,Сибмастерс,54.21,818,1,True
63,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,40 - 44,КОВАЛЁВ Иван,м,40,Тройка,54.44,808,2,True
64,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,40 - 44,СКЛЯРОВ Валентин,м,42,Гидра Мастерс,55.52,761,3,True
65,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,40 - 44,ДРУЖИНИН Дмитрий,м,41,Гидра Мастерс,56.84,710,4,True
66,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,40 - 44,САЛОВ Антон,м,40,Драфт,1:00.31,594,6,True
67,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,40 - 44,ПЕТРОВ Дмитрий,м,41,Фитнес Хаус,1:00.96,575,8,True
68,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,БОБОВИК Юрий,м,36,Гидра Мастерс,56.35,677,1,True
69,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,МАРТЫНОВ Максим,м,38,Невские звёзды,57.94,622,2,True
70,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,СЫЧЁВ Иван,м,38,Драфт,59.09,587,3,True
71,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,СЛЕПЦОВ Александр,м,36,Невские звёзды,1:00.48,547,4,True
72,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,ЕЛИЗАРОВ Павел,м,37,Плыви Москва,1:01.46,521,5,True
73,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,ПРОХОРЕНКО Федор,м,39,Гидра Мастерс,1:01.97,509,6,True
74,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,КРИЕВС Кирилл,м,36,Летс Свим,1:08.24,381,8,True
75,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,35 - 39,БОГОЯВЛЕНСКИЙ Николай,м,35,Гидра Мастерс,1:09.38,362,9,True
76,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,30 - 34,КОЛЕСНИКОВ Станислав,м,32,Свимлайф Мастерс,51.81,847,2,True
77,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,30 - 34,ИВАНЮК Анатолий,м,34,Гравити Спорт,53.92,751,3,True
78,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,30 - 34,ДМИТРИЕВ Андрей,м,34,Мэд Вейв,54.15,741,4,True
79,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,30 - 34,ХМЕЛЕВСКИЙ Алексей,м,32,Летс Свим,54.59,724,5,True
80,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,30 - 34,ТИХОМИРОВ Александр,м,34,Гравити Спорт,55.17,701,6,True
81,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,30 - 34,ТОКАРЕВ Вадим,м,32,Гидра Мастерс,57.43,621,7,True
82,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,25 - 29,НОВОЖИЛОВ Валерий,м,28,Гидра Мастерс,54.92,695,1,True
83,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,25 - 29,КОРОМЫСЛОВ Кирилл,м,27,Фитнес Хаус,59.12,557,3,True
84,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,25 - 29,ЯРОПОЛОВ Дмитрий,м,27,АСМ,59.93,535,4,True
85,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Вольный стиль ,25 - 29,КУЗНЕЦОВ Виталий,м,27,Фитнес Хаус,1:00.69,515,5,True
86,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Брасс,70 - 74,ШАНГИНА Ирина,ж,70,Невские звёзды,1:35.38,1090,1,True
87,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Брасс,65 - 69,ОЛЕЙНИК Елена,ж,66,Гравити Спорт,1:43.31,675,1,True
88,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Брасс,60 - 64,ПРОКОФЬЕВА Татьяна,ж,60,Спартак,1:24.29,1001,1,True
89,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Брасс,60 - 64,МАЛЬЦЕВА Марина,ж,64,Спрут,1:31.94,771,2,True
90,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Брасс,60 - 64,КИЙЛО Светлана,ж,62,Спартак,1:40.99,582,3,True
91,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Брасс,60 - 64,ГРИГОРЬЕВА Елена,ж,63,Драфт,1:44.42,526,4,True
92,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Брасс,60 - 64,БЕЛАЯ Наталья,ж,60,Невские звёзды,1:52.30,423,5,True
93,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Брасс,55 - 59,КУТЕЙНИКОВА Марина,ж,58,Тройка,1:48.43,398,1,True
94,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Брасс,55 - 59,ПИСКУНОВА Екатерина,ж,56,Фитнес Хаус,2:01.89,280,2,True
95,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Брасс,50 - 54,ВОЛЕРТ Татьяна,ж,50,ФИТкультура,1:38.97,459,1,True
96,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Брасс,45 - 49,КРОМБАЛЕВА Наталья,ж,46,Фитнес Хаус,1:44.18,350,1,True
97,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Брасс,45 - 49,ЗЕЛИНСКАЯ Татьяна,ж,48,Невские звёзды,1:46.51,327,2,True
98,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Брасс,45 - 49,КОСТЕРЕВА Екатерина,ж,49,Фитнес Хаус,1:49.13,304,3,True
99,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Брасс,45 - 49,АСТАХОВА Ольга,ж,45,ФИТкультура,1:54.81,261,4,True
100,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Брасс,40 - 44,ГЛЕБОВА Екатерина,ж,40,Свимлайф Мастерс,1:19.74,713,1,True
101,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,100,Брасс,40 - 44,ПОЛЕЙКИНА Анна,ж,44,Фитнес Хаус,1:29.40,506,2,True
